[2020-05-15 09:39:13,758]: ---mrmd 2.0 start----
[2020-05-15 09:40:19,305]: ANOVA start...
[2020-05-15 09:40:20,203]: ANOVA  end.
[2020-05-15 09:40:20,204]: mic start...
[2020-05-15 09:40:29,590]: mic  end.
[2020-05-15 09:40:29,591]: mrmd start...
[2020-05-15 09:40:39,592]: mrmd end.
[2020-05-15 09:40:39,592]: mRMR start...
[2020-05-15 09:44:13,740]: mRMR end.
[2020-05-15 09:44:13,740]: lasso start...
[2020-05-15 09:44:14,796]: lasso end.
[2020-05-15 09:44:14,796]: chi2 start...
[2020-05-15 09:44:15,677]: chi2 end.
[2020-05-15 09:44:15,677]: ANOVA start...
[2020-05-15 09:44:16,558]: ANOVA  end.
[2020-05-15 09:44:16,559]: ref start...
[2020-05-15 09:57:07,976]: ref end.
[2020-05-15 09:57:11,205]: The final  rank is
[2020-05-15 09:57:11,207]: 6_R : 0.005984070909209896
[2020-05-15 09:57:11,207]: 1_Y : 0.00567460095372833
[2020-05-15 09:57:11,208]: 10_M : 0.005663830729253289
[2020-05-15 09:57:11,209]: 0_K : 0.005632694718573841
[2020-05-15 09:57:11,210]: 4_W : 0.005600899745573455
[2020-05-15 09:57:11,210]: 7_D : 0.005523829657620253
[2020-05-15 09:57:11,210]: 10_V : 0.005480825913657816
[2020-05-15 09:57:11,210]: 2_P : 0.005455534325489671
[2020-05-15 09:57:11,211]: 10_F : 0.005429134670851978
[2020-05-15 09:57:11,211]: 10_S : 0.00540337092810604
[2020-05-15 09:57:11,219]: 7_H : 0.0053988976792923036
[2020-05-15 09:57:11,219]: 3_Q : 0.0053916221704060335
[2020-05-15 09:57:11,220]: 7_C : 0.005375759573382825
[2020-05-15 09:57:11,220]: 0_D : 0.005365884249893144
[2020-05-15 09:57:11,220]: 2_E : 0.005361982510347717
[2020-05-15 09:57:11,220]: 7_F : 0.005361761660452273
[2020-05-15 09:57:11,220]: 6_M : 0.005351393453875465
[2020-05-15 09:57:11,220]: 0_E : 0.005345367257466345
[2020-05-15 09:57:11,221]: 7_R : 0.0053375615624667964
[2020-05-15 09:57:11,221]: 6_F : 0.005326096751663758
[2020-05-15 09:57:11,221]: 9_C : 0.0053255230432257
[2020-05-15 09:57:11,221]: 4_M : 0.005294354885010291
[2020-05-15 09:57:11,221]: 3_R : 0.005294080305078362
[2020-05-15 09:57:11,222]: 10_P : 0.005292372830019936
[2020-05-15 09:57:11,222]: 10_D : 0.005291899996152133
[2020-05-15 09:57:11,222]: 9_V : 0.005278389910897728
[2020-05-15 09:57:11,222]: 2_G : 0.005275741816797645
[2020-05-15 09:57:11,222]: 1_R : 0.005271182813691694
[2020-05-15 09:57:11,223]: 4_D : 0.005262686918424496
[2020-05-15 09:57:11,223]: 4_R : 0.005256618814611429
[2020-05-15 09:57:11,223]: 0_C : 0.005247387013274098
[2020-05-15 09:57:11,223]: 9_Q : 0.005245720470608249
[2020-05-15 09:57:11,223]: 1_V : 0.00524458501696482
[2020-05-15 09:57:11,224]: 1_W : 0.005228845972430937
[2020-05-15 09:57:11,224]: 10_G : 0.005221312680192329
[2020-05-15 09:57:11,224]: 9_B : 0.005219535411279268
[2020-05-15 09:57:11,224]: 7_E : 0.005211455684082784
[2020-05-15 09:57:11,224]: 6_Y : 0.0052108590401270275
[2020-05-15 09:57:11,225]: 4_H : 0.005209201766378099
[2020-05-15 09:57:11,225]: 0_T : 0.005205642399263467
[2020-05-15 09:57:11,225]: 6_S : 0.005204394455835507
[2020-05-15 09:57:11,225]: 3_P : 0.005204184682158356
[2020-05-15 09:57:11,225]: 10_B : 0.005197033448563442
[2020-05-15 09:57:11,226]: 3_N : 0.005189422966044851
[2020-05-15 09:57:11,226]: 1_T : 0.005182925223024469
[2020-05-15 09:57:11,226]: 8_R : 0.005169720202884315
[2020-05-15 09:57:11,226]: 6_L : 0.00516619925116126
[2020-05-15 09:57:11,226]: 0_G : 0.005163717250691207
[2020-05-15 09:57:11,227]: 3_S : 0.005162582221371449
